                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3949,                 6.2983,                 2.7555,                0.62907,                0.66667,                0.50524,                0.32956,                 1.8792,                 5.6402,                 2.7262,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 2.3388,                 4.5161,                 2.8367,                0.78127,                0.52801,                0.72667,                0.50601,                 1.7317,                 7.2934,                 2.1826,             6.0025e-05,             6.0025e-05,             6.0025e-05
                      3,                 1.9578,                 3.3752,                 2.1433,                0.85815,                0.44444,                0.52711,                0.31235,                 1.5541,                 10.718,                 1.8987,              9.208e-05,              9.208e-05,              9.208e-05
                      4,                 1.6215,                 2.7962,                 1.6366,                0.68568,                0.44444,                0.38908,                0.24291,                 1.5227,                 13.878,                 1.6922,             0.00012117,             0.00012117,             0.00012117
                      5,                 1.3426,                  2.293,                 1.4156,                0.67533,                0.44444,                0.38814,                0.25315,                 1.5893,                 8.1735,                 1.7199,             0.00014728,             0.00014728,             0.00014728
                      6,                 1.2496,                 2.3099,                 1.5274,                0.82956,                0.84926,                0.93214,                0.56643,                 1.6065,                 5.8804,                   1.74,             0.00017043,             0.00017043,             0.00017043
                      7,                 1.2745,                 1.8776,                 1.4085,                0.84709,                0.83243,                 0.9675,                0.53234,                 1.6474,                 3.7362,                 1.7625,              0.0001906,              0.0001906,              0.0001906
                      8,                 1.1961,                 1.7863,                 1.4595,                0.92995,                0.62475,                0.89544,                0.54606,                 1.6324,                 3.3866,                 1.7869,             0.00020781,             0.00020781,             0.00020781
                      9,                 1.3053,                  1.738,                 1.6061,                0.83454,                0.74256,                0.91433,                0.62015,                 1.5412,                 2.9997,                 1.7504,             0.00022204,             0.00022204,             0.00022204
                     10,                 1.2339,                 1.3746,                 1.4093,                 0.8118,                0.83906,                 0.9675,                 0.5239,                 1.5532,                 3.2407,                 1.8086,             0.00023331,             0.00023331,             0.00023331
                     11,                 1.0906,                 1.5412,                 1.3805,                0.73207,                0.83318,                0.80167,                0.42565,                 1.5291,                 3.2251,                 1.8975,              0.0002416,              0.0002416,              0.0002416
                     12,                 1.0955,                 1.2795,                 1.2887,                0.75977,                0.77778,                0.77417,                0.44793,                 1.5565,                 2.9648,                 1.9874,             0.00024693,             0.00024693,             0.00024693
                     13,                 1.1433,                 1.2764,                 1.3513,                0.69368,                0.77778,                0.75278,                0.48406,                 1.4632,                 2.7938,                 1.9401,             0.00024928,             0.00024928,             0.00024928
                     14,                 1.1125,                 1.1775,                 1.3838,                0.52936,                0.77778,                0.70083,                0.45841,                 1.4848,                 2.7963,                 1.9701,             0.00024866,             0.00024866,             0.00024866
                     15,                  1.069,                 1.0356,                 1.2551,                0.72022,                0.83549,                0.89267,                0.56821,                 1.4135,                 2.1647,                 1.8614,             0.00024508,             0.00024508,             0.00024508
                     16,                 1.0597,                 1.5255,                 1.3359,                0.84158,                0.77778,                0.87583,                0.57655,                 1.4139,                 2.0627,                 1.9073,             0.00023853,             0.00023853,             0.00023853
                     17,                 1.2463,                   1.44,                 1.5518,                0.92322,                0.77778,                   0.94,                0.59833,                 1.3071,                 2.2062,                 1.8539,               0.000229,               0.000229,               0.000229
                     18,                 1.1154,                 1.3236,                 1.4271,                0.89462,                0.78949,                 0.9675,                0.61384,                  1.329,                 1.8483,                 1.9472,             0.00021651,             0.00021651,             0.00021651
                     19,                0.91348,                  1.252,                  1.209,                0.93954,                0.78905,                 0.9675,                0.61207,                 1.4238,                 1.8671,                 2.1086,             0.00020104,             0.00020104,             0.00020104
                     20,                0.87798,                 1.1496,                 1.2628,                0.95707,                0.80615,                0.92625,                0.57091,                 1.5413,                 1.7431,                 2.3052,              0.0001826,              0.0001826,              0.0001826
                     21,                0.95914,                 1.1989,                 1.3268,                0.94922,                0.88086,                  0.995,                0.63845,                 1.6011,                 1.5822,                 2.4085,              0.0001612,              0.0001612,              0.0001612
                     22,                0.82078,                 1.0073,                 1.1354,                0.95889,                0.89581,                  0.995,                0.60903,                 1.5939,                 1.5212,                 2.4003,             0.00013683,             0.00013683,             0.00013683
                     23,                0.86694,                0.94615,                 1.1988,                0.96003,                0.89726,                  0.995,                  0.597,                 1.5844,                 1.4947,                 2.3667,             0.00010948,             0.00010948,             0.00010948
                     24,                0.82559,                0.91334,                 1.2134,                0.96101,                0.88889,                 0.9675,                0.62747,                 1.5823,                 1.4598,                  2.365,             7.9165e-05,             7.9165e-05,             7.9165e-05
                     25,                0.96613,                0.93186,                  1.325,                  0.965,                0.88889,                 0.9675,                0.62746,                 1.5797,                 1.4427,                 2.3492,              4.588e-05,              4.588e-05,              4.588e-05
